old_ethnic,Date,rainfall
LI,2014-01-01T00:00:00,0.18909348019951724
LESE,2014-01-01T00:00:00,0.1657699039946505
LENJE,2014-01-01T00:00:00,0.10469593981618872
LENGOLA,2014-01-01T00:00:00,0.19763745283611772
LENDU,2014-01-01T00:00:00,0.14079573118376218
LELE,2014-01-01T00:00:00,0.18553772247044015
LANGO,2014-01-01T00:00:00,0.153275016503287
LANDUMA,2014-01-01T00:00:00,0.23953328943946323
LAMBYA,2014-01-01T00:00:00,0.16061304391829448
LAMBA,2014-01-01T00:00:00,0.1338563983065658
LALA,2014-01-01T00:00:00,0.11582280508664197
LAKA (NDEBELE),2014-01-01T00:00:00,0.07257299206355235
LAKA (ADAMAWA,2014-01-01T00:00:00,0.12453677907492453
LAGUAT,2014-01-01T00:00:00,0.015352708246422946
LABWOR,2014-01-01T00:00:00,0.12196334062452527
KWESE,2014-01-01T00:00:00,0.1949223526210045
KWERE,2014-01-01T00:00:00,0.1478853322662747
KWENA,2014-01-01T00:00:00,0.05492093706915111
KWANGARE,2014-01-01T00:00:00,0.089699299074134
KUTSHU,2014-01-01T00:00:00,0.21227158553123254
KURFEI,2014-01-01T00:00:00,0.04821978673787493
"KURAMA, GURE (NE)",2014-01-01T00:00:00,0.12972341191171752
KUNYI,2014-01-01T00:00:00,0.1581789011530734
KUNTA,2014-01-01T00:00:00,0.011453048453374465
KUNG,2014-01-01T00:00:00,0.07827415762318325
KUNDU,2014-01-01T00:00:00,0.31195961082752666
KUNDA,2014-01-01T00:00:00,0.1056061669914137
KUNAMA,2014-01-01T00:00:00,0.058238951055316374
KUN,2014-01-01T00:00:00,0.09433712577885789
KUMU,2014-01-01T00:00:00,0.22498825941932218
KULANGO,2014-01-01T00:00:00,0.11618146894339758
KUKURUKU,2014-01-01T00:00:00,0.16100626233223933
KUKU,2014-01-01T00:00:00,0.14207524383624345
KUFRA,2014-01-01T00:00:00,4.7706689358755904E-4
KUBA,2014-01-01T00:00:00,0.20367426958484314
KRU,2014-01-01T00:00:00,0.3023386617874364
KREISH,2014-01-01T00:00:00,0.10943837110017648
KREDA,2014-01-01T00:00:00,0.025193068142725344
KRAN,2014-01-01T00:00:00,0.25168025197530464
KRACHI,2014-01-01T00:00:00,0.14124107585744838
KPELLE,2014-01-01T00:00:00,0.23325206240384605
KPE,2014-01-01T00:00:00,0.3044317667170064
KOYAM,2014-01-01T00:00:00,0.03817567527148802
KOTOPO,2014-01-01T00:00:00,0.15460066232211359
KOTOKO,2014-01-01T00:00:00,0.06660698012096304
KOTA,2014-01-01T00:00:00,0.19053980589928196
KOSSI,2014-01-01T00:00:00,0.24741461934742376
KOROCA,2014-01-01T00:00:00,0.02957042315917372
KORO,2014-01-01T00:00:00,0.16727559571785913
KOREKORE,2014-01-01T00:00:00,0.0991885654239013
KORANKO,2014-01-01T00:00:00,0.23407304072541849
KORANA,2014-01-01T00:00:00,0.04368931303180363
KONYANKE,2014-01-01T00:00:00,0.19387956215538282
KONSO,2014-01-01T00:00:00,0.10717466045220031
KONONGO,2014-01-01T00:00:00,0.10573164669450204
KONO,2014-01-01T00:00:00,0.27040049494652874
KONKOMBA,2014-01-01T00:00:00,0.12335195680447283
KONJO,2014-01-01T00:00:00,0.13961553806075025
KONGO,2014-01-01T00:00:00,0.12718008587790067
KONA,2014-01-01T00:00:00,0.1117174279385841
KOMONO,2014-01-01T00:00:00,0.13793281980945796
KOMA,2014-01-01T00:00:00,0.13670658141395395
KOM,2014-01-01T00:00:00,0.25035915195353725
KOKO,2014-01-01T00:00:00,0.24324904194334768
KOBA,2014-01-01T00:00:00,0.07226570093626628
KOALIB,2014-01-01T00:00:00,0.0869683618074368
KITA,2014-01-01T00:00:00,0.11739042585896133
KISSI,2014-01-01T00:00:00,0.25170941706421646
KISI,2014-01-01T00:00:00,0.19007830615733975
KISAMA,2014-01-01T00:00:00,0.057750382726245136
KIPSIGI,2014-01-01T00:00:00,0.16601032193283494
KINGA,2014-01-01T00:00:00,0.17209525997058572
KINDIGA,2014-01-01T00:00:00,0.09333961867628655
KIMR,2014-01-01T00:00:00,0.04809281015444021
KIMBUNDU,2014-01-01T00:00:00,0.11251066539649124
KIMBU,2014-01-01T00:00:00,0.11806255625397633
KILINGA,2014-01-01T00:00:00,0.14877974610494163
KIKUYU,2014-01-01T00:00:00,0.09820365859506178
KHARGA,2014-01-01T00:00:00,7.446773621977665E-4
KGATLA,2014-01-01T00:00:00,0.06750683402577165
KGALAGADI,2014-01-01T00:00:00,0.060887784869628335
KEYU,2014-01-01T00:00:00,0.12571657336987813
KEREWE,2014-01-01T00:00:00,0.1550964099944696
KERARISH,2014-01-01T00:00:00,0.0023719236338330847
KEPERE,2014-01-01T00:00:00,0.16224726930738465
KENTU,2014-01-01T00:00:00,0.24607345750389864
KENGA,2014-01-01T00:00:00,0.06994312909430374
KEMANT,2014-01-01T00:00:00,0.16210156240635815
KELA,2014-01-01T00:00:00,0.22145468329592388
KEBU,2014-01-01T00:00:00,0.14633989327367908
KAWAR,2014-01-01T00:00:00,0.003768542373187016
KATLA,2014-01-01T00:00:00,0.09003099198204904
KATAB,2014-01-01T00:00:00,0.16292792649896345
KASONKE,2014-01-01T00:00:00,0.0960779174091958
KAREKARE,2014-01-01T00:00:00,0.07390974350664956
KARE,2014-01-01T00:00:00,0.19291600046467858
KARANGA,2014-01-01T00:00:00,0.09611558325787459
KARAMOJONG,2014-01-01T00:00:00,0.08823577001307427
KARABORO,2014-01-01T00:00:00,0.1279115731011607
KARA,2014-01-01T00:00:00,0.1117819842629631
KAPSIKI,2014-01-01T00:00:00,0.10587207595924014
KAONDE,2014-01-01T00:00:00,0.12746351858295765
KANURI,2014-01-01T00:00:00,0.05864518935812917
KANEMBU,2014-01-01T00:00:00,0.0334454286621201
KAMUKU,2014-01-01T00:00:00,0.1379141711411571
KAMIR,2014-01-01T00:00:00,0.10379279311167344
KAMBERI,2014-01-01T00:00:00,0.125414630293573
KAMBATA,2014-01-01T00:00:00,0.1568292406204799
KAMBA,2014-01-01T00:00:00,0.06610202074169148
KAM,2014-01-01T00:00:00,0.13393016534280222
KALAI,2014-01-01T00:00:00,0.24533215186959473
KAKA,2014-01-01T00:00:00,0.18847580904068775
KAGORO,2014-01-01T00:00:00,0.09198215676761697
KAFA,2014-01-01T00:00:00,0.21953156358575981
KADARA,2014-01-01T00:00:00,0.16103307109384768
KABYLE,2014-01-01T00:00:00,0.0818401319770613
KABRE,2014-01-01T00:00:00,0.13200799814284958
KABABISH,2014-01-01T00:00:00,0.014067815518254164
JUR,2014-01-01T00:00:00,0.11076533740378491
JUKUN,2014-01-01T00:00:00,0.13307683617309427
JOFRA,2014-01-01T00:00:00,0.0066377749232246494
JIE,2014-01-01T00:00:00,0.0801797491742105
JIBU,2014-01-01T00:00:00,0.18918728889807238
JERID,2014-01-01T00:00:00,0.015882799675629406
JERBA,2014-01-01T00:00:00,0.05397867731614117
"JERAWA, CHAWAI (SW)",2014-01-01T00:00:00,0.13026359046063413
JEN,2014-01-01T00:00:00,0.11249660349887232
JEBALA,2014-01-01T00:00:00,0.08205312645268664
JARAWA,2014-01-01T00:00:00,0.0980254563767411
JANJERO,2014-01-01T00:00:00,0.1830424068744875
JALO,2014-01-01T00:00:00,0.006926621548300012
IYALA,2014-01-01T00:00:00,0.20081982958531366
IWA,2014-01-01T00:00:00,0.14481781874667005
ITTU,2014-01-01T00:00:00,0.128001155886279
ITSEKIRI,2014-01-01T00:00:00,0.3247041557785993
ISOKO,2014-01-01T00:00:00,0.28080549629922036
ISHAAK,2014-01-01T00:00:00,0.042512063380395454
IRAQW,2014-01-01T00:00:00,0.10171079394180257
IRAMBA,2014-01-01T00:00:00,0.12161013299147602
INGASSANA,2014-01-01T00:00:00,0.10044945449056214
IMRAGEN,2014-01-01T00:00:00,0.009442975257168147
ILA,2014-01-01T00:00:00,0.091316399521257
IKASA,2014-01-01T00:00:00,0.1858498973317268
IJEBU,2014-01-01T00:00:00,0.23016777477727565
IJAW,2014-01-01T00:00:00,0.30972097198995346
IGBIRA,2014-01-01T00:00:00,0.12853095673344442
IGALA,2014-01-01T00:00:00,0.15577400200882602
IFORA,2014-01-01T00:00:00,0.009137295604423836
IFE,2014-01-01T00:00:00,0.17921328007511142
IDOMA,2014-01-01T00:00:00,0.16391843464220004
IDIO,2014-01-01T00:00:00,0.16030407179309436
IBO,2014-01-01T00:00:00,0.24242576007471942
IBIBIO,2014-01-01T00:00:00,0.32969471365797476
HURUTSHE,2014-01-01T00:00:00,0.06746031372763678
HUNDE,2014-01-01T00:00:00,0.21485850737463139
HOLOHOLO,2014-01-01T00:00:00,0.12866009571977574
HOLO,2014-01-01T00:00:00,0.1535443285383371
HLENGWE,2014-01-01T00:00:00,0.09713325524675838
HIECHWARE,2014-01-01T00:00:00,0.07155812130987672
HERERO,2014-01-01T00:00:00,0.0425458260094017
HEMAT,2014-01-01T00:00:00,0.08683317433756212
HEIKUM,2014-01-01T00:00:00,0.06522548842602093
HEHE,2014-01-01T00:00:00,0.11810545582134314
HAYA,2014-01-01T00:00:00,0.13256780686117486
HAWIYA,2014-01-01T00:00:00,0.0369813196811674
HAUSA,2014-01-01T00:00:00,0.08604027269934295
HASANIA,2014-01-01T00:00:00,0.03616372933843357
HARARI,2014-01-01T00:00:00,0.13689085486239425
